symbol,date,raw_return,corporate_action_adjusted_return,source,corporate_action,official_crosscheck,resolution,original_value,replacement_value,verified
4154,2024-09-02,0.5931034482758621,0.10000000000000009,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,23.1,23.1,True
4169,2020-07-27,0.45593868648898184,0.45593868648898184,"Yahoo bootstrap, OHLC/calendar validated",,True,VERIFIED_MARKET_MOVE,35.370872497558594,35.370872497558594,True
4174,2026-02-03,0.8297101449275361,-0.08514492753623193,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,50.5,50.5,True
4192,2023-07-10,2.398876404494382,-0.09200060033018154,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,60.5,60.5,True
4195,2020-07-27,0.8410041664930803,0.8410041664930803,"Yahoo bootstrap, OHLC/calendar validated",,True,VERIFIED_MARKET_MOVE,20.860910415649414,20.860910415649414,True
4198,2018-08-27,2.0748663101604277,-0.07754010695187163,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,17.25,17.25,True
4198,2022-08-15,3.8117154811715475,-0.03765690376569031,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,23.0,23.0,True
4303,2018-08-29,-0.743030303030303,0.09929997407311375,TPEx official whole-market daily tables,STOCK_DIVIDEND,True,CORPORATE_ACTION_MECHANICAL_GAP,42.4,42.4,True
4304,2018-09-07,0.364522417153996,-0.04240766073871394,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,7.0,7.0,True
4415,2019-12-06,-0.3970588235294118,-0.3970588235294118,TPEx official whole-market daily tables,,True,VERIFIED_MARKET_MOVE,1.23,1.23,True
4419,2023-03-01,0.37222222222222223,0.09777777777777774,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,12.35,12.35,True
4420,2024-03-28,-0.2984441301272984,-0.021696252465483234,TPEx official whole-market daily tables,CASH_DIVIDEND,True,CORPORATE_ACTION_MECHANICAL_GAP,49.6,49.6,True
4441,2025-04-07,-0.3664259927797834,-0.3664259927797834,"Yahoo bootstrap, OHLC/calendar validated",,True,VERIFIED_MARKET_MOVE,175.5,175.5,True
4441,2025-04-10,0.3496932515337423,0.3496932515337423,"Yahoo bootstrap, OHLC/calendar validated",,True,VERIFIED_MARKET_MOVE,220.0,220.0,True
4530,2025-12-29,1.3292682926829267,-0.08524904214559403,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,28.65,28.65,True
4538,2019-01-16,0.2786069651741292,0.2786069651741292,TPEx official whole-market daily tables,,True,VERIFIED_MARKET_MOVE,25.7,25.7,True
4582,2026-04-21,0.45454544286900167,0.45454544286900167,"Yahoo bootstrap, OHLC/calendar validated",,True,VERIFIED_MARKET_MOVE,43.20000076293945,43.20000076293945,True
4585,2025-08-27,0.511543134872418,0.511543134872418,"Yahoo bootstrap, OHLC/calendar validated",,True,VERIFIED_MARKET_MOVE,622.0,622.0,True
4585,2025-09-26,-0.26417910447761195,-0.26417910447761195,"Yahoo bootstrap, OHLC/calendar validated",,True,VERIFIED_MARKET_MOVE,493.0,493.0,True
4590,2025-04-07,-0.2927272449840199,-0.2927272449840199,"Yahoo bootstrap, OHLC/calendar validated",,True,VERIFIED_MARKET_MOVE,77.80000305175781,77.80000305175781,True
4702,2019-12-09,2.0294117647058827,-0.026465028355387443,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,10.3,10.3,True
4725,2020-07-20,1.4320241691842903,1.4320241691842903,FinMind TaiwanStockPrice,,False,UNRESOLVED,16.1,16.1,False
4803,2020-11-03,-0.34634974533106955,-0.009518909184460966,TPEx official whole-market daily tables,STOCK_DIVIDEND,True,CORPORATE_ACTION_MECHANICAL_GAP,38.5,38.5,True
4806,2025-10-07,1.055702917771883,1.055702917771883,TPEx official whole-market daily tables,,True,VERIFIED_MARKET_MOVE,15.5,15.5,True
4903,2022-12-30,0.405,-0.03236914600550955,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,14.05,14.05,True
4944,2018-09-25,0.3721804511278195,0.06600467289719614,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,18.25,18.25,True
4944,2020-09-29,1.1496598639455784,-0.09662664379645503,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,31.6,31.6,True
4944,2022-08-31,0.965686274509804,-0.018119490695396756,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,20.05,20.05,True
4946,2020-09-30,0.8,-0.09999999999999998,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,19.8,19.8,True
4946,2023-11-20,0.8226086956521739,-0.08869565217391306,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,52.4,52.4,True
4946,2024-09-30,0.3727810650887575,-0.0019359001935901343,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,46.4,46.4,True
4949,2023-01-30,11.410714088349923,11.410714088349923,"Yahoo bootstrap, OHLC/calendar validated",,True,VERIFIED_MARKET_MOVE,63.18181610107422,63.18181610107422,True
4950,2025-11-11,1.553398058252427,0.004583651642475317,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,26.3,26.3,True
