symbol,exchange,first_seen,last_seen,trading_days,source,universe_reason,data_status
3287,TPEx,2018-01-02,2026-08-19,2086,TPEx STK_WN1430,observed in official daily market table,READY
3288,TPEx,2018-01-02,2026-08-19,1858,TPEx STK_WN1430,observed in official daily market table,READY
3289,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3290,TPEx,2018-01-02,2026-08-19,2087,TPEx STK_WN1430,observed in official daily market table,READY
3293,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3294,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3297,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3299,TPEx,2018-01-02,2018-11-21,217,TPEx STK_WN1430,observed in official daily market table,READY
3303,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3306,TPEx,2018-01-02,2026-08-19,2092,TPEx STK_WN1430,observed in official daily market table,READY
3310,TPEx,2018-01-02,2026-08-19,2088,TPEx STK_WN1430,observed in official daily market table,READY
3313,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
3317,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3322,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3323,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3324,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3325,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3332,TPEx,2018-01-05,2026-08-19,1683,TPEx STK_WN1430,observed in official daily market table,READY
3339,TPEx,2018-01-02,2026-08-19,2050,TPEx STK_WN1430,observed in official daily market table,READY
3349,TPEx,2022-03-23,2026-08-19,1035,TPEx STK_WN1430,observed in official daily market table,READY
3354,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
