symbol,name,exchange,listing_date,registration,industry_code,preferred_shares,source,instrument_type,is_ky,point_in_time_complete,is_suspended,is_disposition,is_full_cash_delivery,snapshot_date
7777,能率亞洲,TPEx,2025-12-22,－,20,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7782,光速火箭,TPEx,2025-10-28,－,38,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7792,安葆,TPEx,2026-01-28,－,31,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7794,宏碁智新,TPEx,2026-04-20,－,38,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7805,威聯通,TPEx,2025-12-22,－,36,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7810,捷創科技,TPEx,2025-12-23,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7811,民盛,TPEx,2026-03-25,－,37,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7814,海昌生技,TPEx,2026-07-16,－,22,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7819,精誠金融,TPEx,2026-05-27,－,30,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7820,立盈,TPEx,2026-04-27,－,35,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7828,創新服務,TPEx,2026-04-22,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7839,達人網,TPEx,2026-06-15,－,36,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7842,天能綠電,TPEx,2026-05-11,－,35,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8024,佑華,TPEx,2006-09-25,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8027,鈦昇,TPEx,2015-06-09,－,05,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8032,光菱,TPEx,2003-10-02,－,29,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
