symbol,date,open,high,low,close,volume,reason
6172,2018-05-11,0.0,0.0,0.0,0.0,52,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6172,2018-06-19,0.0,0.0,0.0,0.0,160,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6172,2018-07-11,0.0,0.0,0.0,0.0,0,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6172,2018-07-27,0.0,0.0,0.0,0.0,0,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6172,2018-08-07,0.0,0.0,0.0,0.0,0,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6172,2018-08-17,0.0,0.0,0.0,0.0,105,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6172,2018-08-24,0.0,0.0,0.0,0.0,0,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6172,2018-09-03,0.0,0.0,0.0,0.0,0,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6172,2018-09-05,0.0,0.0,0.0,0.0,0,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6172,2018-09-13,0.0,0.0,0.0,0.0,0,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6172,2018-10-15,0.0,0.0,0.0,0.0,0,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6172,2018-10-25,0.0,0.0,0.0,0.0,0,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6172,2018-11-13,0.0,0.0,0.0,0.0,0,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6172,2019-01-07,0.0,0.0,0.0,0.0,0,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6172,2019-01-23,0.0,0.0,0.0,0.0,0,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6172,2019-02-12,0.0,0.0,0.0,0.0,0,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6172,2019-02-13,0.0,0.0,0.0,0.0,0,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6172,2021-10-21,0.0,0.0,0.0,0.0,357,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6172,2021-10-22,0.0,0.0,0.0,0.0,40,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6172,2021-10-25,0.0,0.0,0.0,0.0,0,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6251,2019-10-18,0.0,0.0,0.0,0.0,0,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6289,2018-07-02,0.0,0.0,0.0,0.0,753,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6289,2020-04-14,0.0,0.0,0.0,0.0,306,NONPOSITIVE_OHLC_NOT_EXECUTABLE
6289,2021-10-18,0.0,0.0,0.0,0.0,10,NONPOSITIVE_OHLC_NOT_EXECUTABLE
