date,symbol,exchange,status,source
2019-01-18,3519,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-18,5259,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-18,6225,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-18,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-18,9157,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-18,9928,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-21,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-21,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-21,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-21,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-21,2321,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-21,2364,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-21,2475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-21,3043,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-21,3051,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-21,3383,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-21,3519,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-21,5259,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-21,6225,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-21,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-21,9157,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-21,9928,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-22,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-22,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-22,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-22,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-22,2321,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-22,2364,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-22,2475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-22,3043,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-22,3051,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-22,3383,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-22,3519,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-22,5259,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-22,6225,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-22,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-22,9157,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-22,9928,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-23,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-23,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-23,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-23,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-23,2321,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-23,2364,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-23,2475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-23,3043,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-23,3051,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-23,3383,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-23,3519,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-23,5259,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
