date,symbol,close,oscillation_score,low_score,historical_events,mr_probability,regime_risk_score,final_score,candidate,rejection_reason
2026-08-19,1307,30.299999237060547,73.281785879739,76.25215797907535,25,0.88,20.0,79.44757525869053,False,LIQUIDITY
2026-08-19,1308,13.350000381469727,88.88311967894553,0.8333333333333331,42,0.4523809523809524,20.0,52.44469780844556,False,LIQUIDITY
2026-08-19,1309,12.699999809265137,91.12782119129011,42.8313627536682,48,0.4583333333333333,50.0,59.29618704580408,False,LOW_ZONE
2026-08-19,1310,8.100000381469727,99.62339884450344,7.031793424312342,34,0.5588235294117647,20.0,60.40967389178206,False,LIQUIDITY
2026-08-19,1312,11.75,95.4277569132479,6.002796805838838,37,0.4864864864864865,20.0,56.723620870028675,False,LOW_ZONE
2026-08-19,1313,11.399999618530273,97.35449842241168,0.0,45,0.35555555555555557,20.0,51.87301619339017,False,LOW_ZONE
2026-08-19,1314,7.800000190734863,87.89524095987056,0.0,36,0.4722222222222222,20.0,52.535238954627836,False,LIQUIDITY
2026-08-19,1315,65.69999694824219,38.21430387950501,0.0,8,0.625,20.0,42.2142911638515,False,LIQUIDITY
2026-08-19,1316,10.600000381469727,77.98319053620286,0.0,65,0.4307692307692308,20.0,48.318034083937775,False,LIQUIDITY
2026-08-19,1319,81.69999694824219,79.25822267778452,0.0,42,0.4523809523809524,20.0,49.34889537476393,False,LOW_ZONE
2026-08-19,1321,31.799999237060547,41.43887873534696,1.4403051489548508,13,0.46153846153846156,20.0,38.63789375399664,False,LIQUIDITY
2026-08-19,1323,21.399999618530273,59.419855460891014,0.0,3,0.0,20.0,29.825956638267304,False,LIQUIDITY
2026-08-19,1324,9.989999771118164,72.58891310469963,52.23672064232719,29,0.20689655172413793,20.0,53.04275064371582,False,LIQUIDITY
2026-08-19,1325,26.149999618530273,78.58883357120993,0.2785316215851247,64,0.5,20.0,50.64628297675927,False,LIQUIDITY
2026-08-19,1326,56.70000076293945,93.33635861101679,5.050096301350152,17,0.4117647058823529,20.0,53.61637283511316,False,LOW_ZONE
2020-04-06,1333,1.44,100.0,,0,,20.0,,False,OFFICIAL_STATUS
