symbol,exchange,first_seen,last_seen,trading_days,source
3485,TPEx,2026-05-06,2026-08-19,74,TPEX_STK_WN1430
3489,TPEx,2018-01-02,2026-08-19,2087,TPEX_DAILY_QUOTES
3490,TPEx,2018-01-02,2026-08-19,2089,TPEX_DAILY_QUOTES
3491,TPEx,2018-01-02,2026-08-19,2093,TPEX_DAILY_QUOTES
3492,TPEx,2018-01-02,2026-08-19,2089,TPEX_DAILY_QUOTES
3498,TPEx,2018-01-02,2026-08-19,2089,TPEX_DAILY_QUOTES
3499,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3508,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3511,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
3512,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3516,TPEx,2018-01-02,2026-08-19,2069,TPEX_DAILY_QUOTES
3520,TPEx,2018-01-02,2026-08-19,2088,TPEX_DAILY_QUOTES
3521,TPEx,2018-01-02,2026-08-19,2087,TPEX_DAILY_QUOTES
3522,TPEx,2018-01-02,2026-08-19,2088,TPEX_DAILY_QUOTES
3523,TPEx,2018-01-02,2026-08-19,1974,TPEX_DAILY_QUOTES
3526,TPEx,2018-01-02,2026-08-19,2088,TPEX_DAILY_QUOTES
3527,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3529,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3531,TPEx,2018-01-02,2026-08-19,1974,TPEX_DAILY_QUOTES
3537,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3540,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3541,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3546,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3548,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3551,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3552,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3555,TPEx,2018-01-02,2026-08-19,1960,TPEX_DAILY_QUOTES
3556,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3558,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3562,TPEx,2018-01-02,2020-02-14,504,TPEX_DAILY_QUOTES
3563,TPEx,2018-01-02,2019-04-01,300,TPEX_DAILY_QUOTES
3564,TPEx,2018-01-02,2026-08-19,2080,TPEX_DAILY_QUOTES
3567,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3570,TPEx,2018-01-02,2026-08-19,2077,TPEX_DAILY_QUOTES
3577,TPEx,2018-01-02,2026-08-19,2084,TPEX_DAILY_QUOTES
3580,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3581,TPEx,2018-01-02,2026-08-19,2084,TPEX_DAILY_QUOTES
3587,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
3594,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3597,TPEx,2020-03-09,2026-08-19,1558,TPEX_STK_WN1430
3609,TPEx,2018-01-02,2026-08-19,2074,TPEX_DAILY_QUOTES
3611,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3615,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3623,TPEx,2018-01-02,2026-08-19,2091,TPEX_DAILY_QUOTES
3624,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3625,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3628,TPEx,2018-01-02,2026-08-19,2088,TPEX_DAILY_QUOTES
3629,TPEx,2018-01-02,2026-08-19,1540,TPEX_DAILY_QUOTES
3630,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
3631,TPEx,2018-01-02,2026-08-19,2042,TPEX_DAILY_QUOTES
3632,TPEx,2018-01-02,2026-08-19,2024,TPEX_DAILY_QUOTES
3642,TPEx,2018-01-02,2022-11-16,1182,TPEX_DAILY_QUOTES
3646,TPEx,2018-01-02,2026-08-19,2084,TPEX_DAILY_QUOTES
3652,TPEx,2018-01-02,2022-09-20,1145,TPEX_DAILY_QUOTES
3663,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3664,TPEx,2018-01-02,2026-08-19,2080,TPEX_DAILY_QUOTES
3666,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
3672,TPEx,2018-01-02,2026-08-19,2091,TPEX_DAILY_QUOTES
3675,TPEx,2018-01-02,2026-08-19,2093,TPEX_DAILY_QUOTES
3680,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3684,TPEx,2018-01-02,2026-08-18,2006,TPEX_DAILY_QUOTES
3685,TPEx,2018-01-02,2026-08-19,2083,TPEX_DAILY_QUOTES
3687,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3689,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3691,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3693,TPEx,2018-01-02,2026-08-19,2092,TPEX_DAILY_QUOTES
3707,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3709,TPEx,2018-01-02,2026-08-19,2064,TPEX_DAILY_QUOTES
3710,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3713,TPEx,2020-02-27,2026-08-19,1575,TPEX_STK_WN1430
4102,TPEx,2018-01-02,2026-08-19,2091,TPEX_DAILY_QUOTES
4103,TPEx,2018-01-02,2018-11-06,206,TPEX_DAILY_QUOTES
4105,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4107,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4109,TPEx,2018-01-02,2026-08-19,2089,TPEX_DAILY_QUOTES
4111,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4113,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4114,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
4116,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
4120,TPEx,2018-01-02,2026-08-19,2091,TPEX_DAILY_QUOTES
4121,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4123,TPEx,2018-01-02,2026-08-19,2093,TPEX_DAILY_QUOTES
4126,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
4127,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
4128,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
4129,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4130,TPEx,2018-01-02,2026-07-21,2073,TPEX_DAILY_QUOTES
4131,TPEx,2018-01-02,2026-08-19,1830,TPEX_DAILY_QUOTES
4138,TPEx,2018-01-02,2026-08-19,2090,TPEX_DAILY_QUOTES
4139,TPEx,2018-01-02,2026-08-19,2090,TPEX_DAILY_QUOTES
4147,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4152,TPEx,2018-01-02,2021-09-29,906,TPEX_DAILY_QUOTES
4153,TPEx,2018-01-02,2026-08-19,2089,TPEX_DAILY_QUOTES
4154,TPEx,2018-01-02,2026-08-18,1948,TPEX_DAILY_QUOTES
4157,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4160,TPEx,2018-01-02,2026-08-19,2087,TPEX_DAILY_QUOTES
4161,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4162,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4163,TPEx,2018-01-02,2026-08-19,2091,TPEX_DAILY_QUOTES
4166,TPEx,2025-08-21,2026-08-19,241,TPEX_STK_WN1430
4167,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4168,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4171,TPEx,2018-01-02,2026-08-19,2092,TPEX_DAILY_QUOTES
4173,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4174,TPEx,2018-01-02,2026-08-19,2090,TPEX_DAILY_QUOTES
4175,TPEx,2018-01-02,2026-08-19,2076,TPEX_DAILY_QUOTES
4180,TPEx,2018-01-02,2019-07-29,380,TPEX_DAILY_QUOTES
4183,TPEx,2018-01-02,2026-08-19,1880,TPEX_DAILY_QUOTES
4188,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
4192,TPEx,2018-01-02,2026-08-18,2005,TPEX_DAILY_QUOTES
4198,TPEx,2018-01-02,2026-08-18,1946,TPEX_DAILY_QUOTES
4205,TPEx,2018-01-02,2026-08-19,2085,TPEX_DAILY_QUOTES
4207,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4303,TPEx,2018-01-02,2026-08-19,2087,TPEX_DAILY_QUOTES
4304,TPEx,2018-01-02,2026-08-19,1890,TPEX_DAILY_QUOTES
4305,TPEx,2018-01-02,2026-08-19,1788,TPEX_DAILY_QUOTES
4401,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4402,TPEx,2018-01-02,2026-08-19,2029,TPEX_DAILY_QUOTES
4406,TPEx,2018-01-02,2026-08-19,1914,TPEX_DAILY_QUOTES
4413,TPEx,2018-01-02,2026-08-19,1852,TPEX_DAILY_QUOTES
4415,TPEx,2018-11-02,2019-12-13,159,TPEX_STK_WN1430
4416,TPEx,2018-01-02,2026-08-19,1747,TPEX_DAILY_QUOTES
4417,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4419,TPEx,2018-01-04,2026-08-19,1310,TPEX_DAILY_QUOTES
4420,TPEx,2018-01-02,2026-08-19,2065,TPEX_DAILY_QUOTES
4429,TPEx,2018-01-02,2022-05-24,854,TPEX_DAILY_QUOTES
4430,TPEx,2018-01-02,2026-08-19,2076,TPEX_DAILY_QUOTES
4432,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
4433,TPEx,2018-01-02,2026-08-19,2078,TPEX_DAILY_QUOTES
4442,TPEx,2023-11-29,2026-08-19,657,TPEX_STK_WN1430
4502,TPEx,2018-01-02,2026-08-19,2071,TPEX_DAILY_QUOTES
4503,TPEx,2018-01-02,2026-08-19,2089,TPEX_DAILY_QUOTES
4506,TPEx,2018-01-02,2026-08-19,2093,TPEX_DAILY_QUOTES
4510,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4513,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4523,TPEx,2018-01-02,2026-08-19,2072,TPEX_DAILY_QUOTES
4527,TPEx,2018-01-02,2026-08-19,2087,TPEX_DAILY_QUOTES
4528,TPEx,2018-01-02,2026-08-19,2086,TPEX_DAILY_QUOTES
4529,TPEx,2018-01-02,2026-08-19,2093,TPEX_DAILY_QUOTES
4530,TPEx,2018-01-02,2026-08-19,2028,TPEX_DAILY_QUOTES
4533,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
4534,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4535,TPEx,2018-01-02,2026-08-19,2032,TPEX_DAILY_QUOTES
4538,TPEx,2019-01-15,2026-08-19,1814,TPEX_STK_WN1430
4541,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
4542,TPEx,2018-01-02,2026-08-19,1969,TPEX_DAILY_QUOTES
4543,TPEx,2018-01-02,2026-08-19,2065,TPEX_DAILY_QUOTES
4549,TPEx,2018-01-02,2026-08-19,2093,TPEX_DAILY_QUOTES
4550,TPEx,2018-01-02,2026-08-19,2072,TPEX_DAILY_QUOTES
4554,TPEx,2018-01-02,2026-08-19,2074,TPEX_DAILY_QUOTES
4556,TPEx,2018-01-02,2026-08-19,1861,TPEX_DAILY_QUOTES
4558,TPEx,2022-03-17,2026-08-19,1071,TPEX_STK_WN1430
4561,TPEx,2018-06-11,2026-08-19,1988,TPEX_DAILY_QUOTES
