date,symbol,close,oscillation_score,low_score,historical_events,mr_probability,regime_risk_score,final_score,take_profit
2025-04-08,4974,85.8,80.62953995157385,94.13279245643079,12,0.6666666666666666,20.0,79.72206009957985,0.12
2025-04-09,4974,82.0,78.14948764315852,95.99158849503628,12,0.6666666666666666,20.0,79.44274341670662,0.12
2020-08-18,4977,119.59015655517578,100.0,65.32771112178327,15,0.6666666666666666,20.0,78.33192778044581,0.2
2020-08-20,4977,106.30236053466797,92.3395465601723,93.53957085880995,15,0.6666666666666666,20.0,83.08675668275417,0.2
2020-09-07,4977,105.31807708740234,93.58178303157263,83.30597066411093,15,0.6666666666666666,20.0,80.90102757549951,0.2
2020-09-08,4977,105.31807708740234,93.96085000363898,81.8993954758632,15,0.6666666666666666,20.0,80.6631038700575,0.2
2021-05-04,4977,98.42810821533203,69.11550422785697,94.10862608620361,23,0.6521739130434783,20.0,75.82702518121233,0.15
2021-05-05,4977,95.67212677001953,69.65431880930919,96.0700419602608,24,0.6666666666666666,20.0,76.91380613285796,0.15
2021-05-06,4977,92.71927642822266,73.40312183066811,97.90806041131275,24,0.6666666666666666,20.0,78.49795165202862,0.15
2021-05-07,4977,95.9674072265625,72.68954230601304,65.68397397783232,24,0.6666666666666666,20.0,70.22785618626199,0.15
2021-05-10,4977,93.21141815185547,73.79642028863982,87.16985137823505,24,0.6666666666666666,20.0,75.9313889311507,0.15
2021-05-11,4977,86.81359100341797,73.4841211908298,97.03053703986302,24,0.6666666666666666,20.0,78.3028706172147,0.15
2021-05-13,4977,83.86074829101562,71.99360617426144,83.9224734638077,24,0.6666666666666666,20.0,74.57870021823035,0.15
2021-05-14,4977,84.15603637695312,71.82524358921876,78.08742575121363,24,0.6666666666666666,20.0,73.06942951456904,0.15
2023-04-27,4977,105.5,99.79415397282833,84.81141152080242,38,0.6578947368421053,20.0,82.87794117731227,0.15
2023-05-02,4977,106.5,97.22814498933901,68.56802164326886,38,0.6578947368421053,20.0,78.04729101288208,0.15
