symbol,name,delisting_date,exchange,source,reason
6426,統新光訊股份有限公司,2021-03-24,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
3092,鴻碩精密電工股份有限公司,2021-05-13,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
911613,特藝石油能源有限公司,2021-09-03,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之6。
4152,台灣微脂體股份有限公司,2021-10-08,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之18
2928,紅馬集團股份有限公司,2021-10-22,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之7規定
3144,新揚科技股份有限公司,2021-12-20,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之18
4803,威馳克媒體集團股份有限公司,2021-12-27,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2
1752,南光化學製藥股份有限公司,2022-01-19,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
5306,桂盟國際股份有限公司,2022-03-08,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
8406,金可國際股份有限公司,2022-04-29,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之7
4429,聚紡股份有限公司,2022-05-31,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之12
5102,富強輪胎工廠股份有限公司,2022-07-15,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之18
3652,精聯電子股份有限公司,2022-09-21,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
5820,日盛金融控股股份有限公司,2022-11-11,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2
6247,淇譽電子科技股份有限公司,2023-02-10,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之18
6594,展匯科技股份有限公司,2023-04-01,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之12
1258,其祥生物科技控股有限公司,2023-06-09,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之7
3642,駿熠電子科技股份有限公司,2023-06-27,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2
8476,台境企業股份有限公司,2023-10-31,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
5281,大峽谷半導體照明系統(開曼)股份有限公司,2023-10-31,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之7
4944,兆遠科技股份有限公司,2023-11-01,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之12
6472,保瑞藥業股份有限公司,2023-12-19,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
4736,泰博科技股份有限公司,2023-12-22,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
6446,藥華醫藥股份有限公司,2024-01-25,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
8418,捷必勝控股股份有限公司,2024-01-31,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之7
3089,億杰科技股份有限公司,2024-03-04,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2
5383,金利精密工業股份有限公司,2024-05-31,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之12
6404,中國通訊多媒體集團有限公司,2024-07-02,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2
4712,福格創新股份有限公司,2024-09-25,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2
6514,芮特科技股份有限公司,2024-10-18,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之7
8420,明揚國際科技股份有限公司,2024-11-29,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之12
6457,紘康科技股份有限公司,2025-01-01,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之18
6287,元隆電子股份有限公司,2025-06-23,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第4款
3202,樺晟電子股份有限公司,2025-07-21,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2及第15條之11
6589,台康生技股份有限公司,2025-07-21,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
4945,陞達科技股份有限公司,2025-09-08,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之18
6747,亨泰光學股份有限公司,2025-12-04,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之18
4987,科誠股份有限公司,2026-05-29,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之18
3426,台興電子企業股份有限公司,2026-06-08,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之18
5236,凌陽創新科技股份有限公司,2026-07-16,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
4130,健亞生物科技股份有限公司,2026-07-28,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之12
