symbol,exchange,rows,first_date,last_date,duplicate_dates,invalid_ohlcv_rows,max_field_missing_ratio,missing_trading_day_ratio,has_120_days,downloaded
3252,TPEx,2090,2018-01-02,2026-08-19,0,0,0.0,0.0023866348448687846,True,True
3259,TPEx,2079,2018-01-02,2026-08-19,0,0,0.0,0.007637231503579978,True,True
3260,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
3264,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3265,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3268,TPEx,2089,2018-01-02,2026-08-19,0,0,0.0,0.0028639618138425194,True,True
3272,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3276,TPEx,2058,2018-01-02,2026-08-19,0,0,0.0,0.01766109785202863,True,True
3284,TPEx,2085,2018-01-02,2026-08-19,0,0,0.0,0.004773269689737458,True,True
3285,TPEx,2092,2018-01-02,2026-08-19,0,0,0.0,0.0014319809069212042,True,True
3287,TPEx,2086,2018-01-02,2026-08-19,0,0,0.0,0.0042959427207637235,True,True
3288,TPEx,1858,2018-01-02,2026-08-19,0,0,0.0,0.11312649164677802,True,True
3289,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3290,TPEx,2087,2018-01-02,2026-08-19,0,0,0.0,0.003818615751789989,True,True
3293,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3294,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3297,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3303,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3306,TPEx,2092,2018-01-02,2026-08-19,0,0,0.0,0.0014319809069212042,True,True
3310,TPEx,2088,2018-01-02,2026-08-19,0,0,0.0,0.003341288782816254,True,True
3313,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
3317,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3322,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3323,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3324,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3325,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3332,TPEx,1683,2018-01-05,2026-08-19,0,0,0.0,0.1955066921606119,True,True
3339,TPEx,2050,2018-01-02,2026-08-19,0,0,0.0,0.021479713603818618,True,True
3349,TPEx,1035,2022-03-23,2026-08-19,0,0,0.0,0.034514925373134275,True,True
3354,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3357,TPEx,1294,2021-04-27,2026-08-19,0,0,0.0,0.0,True,True
3360,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3362,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3363,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3372,TPEx,2089,2018-01-02,2026-08-19,0,0,0.0,0.0028639618138425194,True,True
3373,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3374,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3379,TPEx,2090,2018-01-02,2026-08-19,0,0,0.0,0.0023866348448687846,True,True
3388,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3390,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3402,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3430,TPEx,955,2022-09-08,2026-08-19,0,0,0.0,0.0,True,True
3434,TPEx,2009,2018-01-02,2026-08-19,0,0,0.0,0.041050119331742296,True,True
3438,TPEx,2087,2018-01-02,2026-08-19,0,0,0.0,0.003818615751789989,True,True
3441,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3444,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3455,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
3465,TPEx,1935,2018-01-03,2026-08-19,0,0,0.0,0.0759312320916905,True,True
3466,TPEx,2060,2018-01-02,2026-08-19,0,0,0.0,0.01670644391408116,True,True
3467,TPEx,344,2025-03-25,2026-08-19,0,0,0.0,0.0,True,True
